location_name,latitude,longitude,postcode,location_type,Operator
Clapham (North Yorkshire),54.10539906,-2.409841839,LA2 8ES,mainline_station,Northern
Clapham High Street,51.46548416,-0.132517714,SW4 6EU,mainline_station,London Overground
Clapham Junction,51.46419065,-0.170247351,SW11 2QP,mainline_station,South West Trains
Clapton,51.56164972,-0.057017955,E5 9JP,mainline_station,London Overground
Clarbeston Road,51.85167193,-4.883574493,SA63 4UH,mainline_station,Arriva Trains Wales
Clarkston,55.78934082,-4.27563799,G44 3BP,mainline_station,Scotrail
Claverdon,52.27710206,-1.696566679,CV35 8PE,mainline_station,West Midlands Trains
Claygate,51.36121463,-0.348236165,KT10 0PB,mainline_station,South West Trains
Cleethorpes,53.56192407,-0.029217393,DN35 8AX,mainline_station,TransPennine Express
Cleland,55.80463945,-3.910243709,ML1 5RR,mainline_station,Scotrail
Clifton (Manchester),53.52223401,-2.314143209,M27 8LL,mainline_station,Northern
Clifton Down,51.46454417,-2.611749153,BS8 2PN,mainline_station,Great Western
Clitheroe,53.87347985,-2.394338568,BB7 2ED,mainline_station,Northern
Clock House,51.40858783,-0.040650863,BR3 4HJ,mainline_station,Southeastern
Clunderwen,51.84054563,-4.731878812,SA66 7NG,mainline_station,Arriva Trains Wales
Clydebank,55.90067284,-4.404218143,G81 1RT,mainline_station,Scotrail
Coatbridge Central,55.86315609,-4.032397297,ML5 1RL,mainline_station,Scotrail
Coatbridge Sunnyside,55.86690882,-4.028277989,ML5 3HR,mainline_station,Scotrail
Coatdyke,55.86433402,-4.004970414,ML5 3PZ,mainline_station,Scotrail
Cobham & Stoke d'Abernon,51.31810024,-0.389336167,KT11 3BW,mainline_station,South West Trains
Codsall,52.62730174,-2.201767313,WV8 1BY,mainline_station,West Midlands Trains
Cogan,51.4459927,-3.189100075,CF64 2NS,mainline_station,Arriva Trains Wales
Colchester,51.90061619,0.89347015,CO1 1XD,mainline_station,Greater Anglia
Colchester Town,51.8865294,0.904148555,CO2 7EF,mainline_station,Greater Anglia
Coleshill Parkway,52.5165359,-1.708183055,B46 1JZ,mainline_station,West Midlands Trains
Collingham,53.14411144,-0.750383181,NG23 7RB,mainline_station,East Midlands Trains
Collington,50.8392821,0.457878337,TN39 3EW,mainline_station,GTR
Colne,53.85484616,-2.1811716,BB8 9NX,mainline_station,Northern
Colwall,52.07987584,-2.356962163,WR13 6RN,mainline_station,West Midlands Trains
Colwyn Bay,53.29637709,-3.725430748,LL29 8DF,mainline_station,Arriva Trains Wales
Combe (Oxon),51.83234296,-1.392901935,OX8 7YG,mainline_station,Great Western
Commondale,54.48182216,-0.974983944,YO21 2HN,mainline_station,Northern
Congleton,53.15787409,-2.192581008,CW12 3DE,mainline_station,Northern
Conisbrough,53.48932729,-1.234332884,DN12 3DX,mainline_station,Northern
Connel Ferry,56.45233144,-5.385427005,PA37 1PA,mainline_station,Scotrail
Conon Bridge,57.5617,-4.4404,IV7 8AA,mainline_station,Scotrail
Cononley,53.91726977,-2.011236378,BD20 8HY,mainline_station,Northern
Conway Park,53.39337776,-3.022679178,CH41 4PP,mainline_station,Merseyrail
Conwy,53.28011971,-3.830541495,LL32 8LD,mainline_station,Arriva Trains Wales
Cooden Beach,50.83336546,0.426874784,TN39 4TT,mainline_station,GTR
Cookham,51.5574608,-0.722076986,SL6 9BP,mainline_station,Great Western
Cooksbridge,50.90375256,-0.009198424,BN7 3QG,mainline_station,GTR
Coombe Junction Halt,50.44547073,-4.48193626,PL14 7LL,mainline_station,Great Western
Copplestone,50.81445919,-3.751601158,EX17 5NE,mainline_station,Great Western
Corbridge,54.96630507,-2.018556061,NE45 5AY,mainline_station,Northern
Corby,52.488051,-0.689243,NN17 1UJ,mainline_station,East Midlands Trains
Corkerhill,55.83748586,-4.334287526,G52 1QR,mainline_station,Scotrail
Corkickle,54.54167907,-3.582164579,CA28 8AP,mainline_station,Northern
Corpach,56.84280695,-5.121947882,PH33 7LS,mainline_station,Scotrail
